Order id,Razón Social ,Sucursal,Métodos De Pago,Subtotal $,Subvención Yummy $,Subtotal Mas Subvención Yummy,Total Cupones de Comercio $,IGTF Comercio $,Fecha De La Orden,Tipo de Delivery,Estado de la orden
"18720145","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","15","0","15","0","0","2026-03-11 22:49:08.758","CoreLogistics","Finalizado"
"18720075","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","5.8","0","5.8","0","0","2026-03-11 22:11:04.908","CoreLogistics","Finalizado"
"18719575","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","18","0","18","0","0","2026-03-11 21:11:24.961","CoreLogistics","Finalizado"
"18719443","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","8.19","0","8.19","0","0","2026-03-11 20:52:42.121","CoreLogistics","Finalizado"
"18719381","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","11.03","0","11.03","0","0","2026-03-11 20:41:20.043","CoreLogistics","Finalizado"
"18719325","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","4.1","0","4.1","0","0","2026-03-11 20:35:48.035","CoreLogistics","Finalizado"
"18719286","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","35.99","0","35.99","0","0","2026-03-11 20:27:56.032","CoreLogistics","Finalizado"
"18718849","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","69.4","0","69.4","0","0","2026-03-11 20:08:06.743","CoreLogistics","Finalizado"
"18718701","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","21.18","0","21.18","0","0","2026-03-11 19:51:46.521","CoreLogistics","Finalizado"
"18716025","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","12.2","0","12.2","0","0","2026-03-11 11:39:54.965","CoreLogistics","Finalizado"
"18715656","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","2.39","0","2.39","0","0","2026-03-10 22:49:56.536","CoreLogistics","Finalizado"
"18715483","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","10.12","0","10.12","0","0","2026-03-10 22:18:15.553","CoreLogistics","Finalizado"
"18715513","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","21.35","0","21.35","0","0","2026-03-10 22:17:14.948","CoreLogistics","Finalizado"
"18715406","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","12.4","0","12.4","0","0","2026-03-10 21:59:44.775","CoreLogistics","Finalizado"
"18715313","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","18.46","0","18.46","0","0","2026-03-10 21:41:42.286","CoreLogistics","Finalizado"
"18715255","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","9.19","0","9.19","0","0","2026-03-10 21:32:44.341","CoreLogistics","Finalizado"
"18715140","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","5.41","0","5.41","0","0","2026-03-10 21:10:47.879","CoreLogistics","Finalizado"
"18715027","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","6.87","0","6.87","0","0","2026-03-10 21:05:54.822","CoreLogistics","Finalizado"
"18714864","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","6.47","0","6.47","0","0","2026-03-10 20:42:51.425","CoreLogistics","Finalizado"
"18714895","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","7.6","0","7.6","0","0","2026-03-10 20:39:18.884","CoreLogistics","Finalizado"
"18713549","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","1.1","0","1.1","0","0","2026-03-10 18:00:07.895","CoreLogistics","Finalizado"
"18713262","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","13.26","0","13.26","0","0","2026-03-10 16:54:10.713","CoreLogistics","Finalizado"
"18713150","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","9","0","9","0","0","2026-03-10 16:16:50.267","CoreLogistics","Finalizado"
"18710867","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","7.33","0","7.33","0","0","2026-03-10 08:48:04.841","CoreLogistics","Finalizado"
"18710861","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","1.8","0","1.8","0","0","2026-03-10 08:24:05.547","CoreLogistics","Finalizado"
"18710633","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","17.38","0","17.38","0","0","2026-03-09 22:31:17.118","CoreLogistics","Finalizado"
"18710598","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","17.1","0","17.1","0","0","2026-03-09 22:18:48.540","CoreLogistics","Finalizado"
"18710614","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","4.1","0","4.1","0","0","2026-03-09 22:17:29.419","CoreLogistics","Finalizado"
"18710456","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","18.03","0","18.03","0","0","2026-03-09 21:33:59.932","CoreLogistics","Finalizado"
"18710318","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","7.3","0","7.3","0","0","2026-03-09 21:25:20.271","CoreLogistics","Finalizado"
"18710309","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","5.41","0","5.41","0","0","2026-03-09 21:21:45.173","CoreLogistics","Finalizado"
"18710338","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","7.8","0","7.8","0","0","2026-03-09 21:20:23.559","CoreLogistics","Finalizado"
"18710218","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","12.2","0","12.2","0","0","2026-03-09 21:01:51.981","CoreLogistics","Finalizado"
"18710101","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","2.51","0","2.51","0","0","2026-03-09 20:46:37.589","CoreLogistics","Finalizado"
"18709974","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","33.33","0","33.33","0","0","2026-03-09 20:30:39.057","CoreLogistics","Finalizado"
"18709849","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","9.15","0","9.15","0","0","2026-03-09 20:14:51.613","CoreLogistics","Finalizado"
"18709817","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","5.87","0","5.87","0","0","2026-03-09 20:11:26.224","CoreLogistics","Finalizado"
