Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Monto del Pedido;Comisión PeYa;Monto final
Cargos por cancelar o rechazar pedidos a usuarios;1890597516;RECHAZADO;2docemarket;7/2/2026 0:00;13:41:48;Falta de productos;148,35;14,84;-14,84
Cargos por cancelar o rechazar pedidos a usuarios;1891246104;RECHAZADO;2docemarket;7/2/2026 0:00;20:44:13;Falta de productos;16,27;1,62;-1,62
Cargos por cancelar o rechazar pedidos a usuarios;1893864899;RECHAZADO;2docemarket - 24hrs;9/2/2026 0:00;23:57:29;Falta de productos;13,4;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1893891630;RECHAZADO;2docemarket - 24hrs;10/2/2026 0:00;0:29:55;Horario de entrega retrasado;5,5;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;1893892023;RECHAZADO;2docemarket - 24hrs;10/2/2026 0:00;1:08:15;Horario de entrega retrasado;10,02;0,54;-0,54
Cargos por cancelar o rechazar pedidos a usuarios;1896754698;RECHAZADO;2docemarket;12/2/2026 0:00;19:32:17;Falta de productos;3,4;0,34;-0,34
Cargos por cancelar o rechazar pedidos a usuarios;1898321754;RECHAZADO;2docemarket - 24hrs;13/2/2026 0:00;22:49:41;Falta de productos;2,5;0,17;-0,17
Cargos por cancelar o rechazar pedidos a usuarios;1899142440;RECHAZADO;2docemarket;14/2/2026 0:00;17:23:44;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;1899230482;RECHAZADO;2docemarket;14/2/2026 0:00;18:40:34;Falta de productos;9,17;0,92;-0,92
Cargos por cancelar o rechazar pedidos a usuarios;1898415304;RECHAZADO;2docemarket - 24hrs;14/2/2026 0:00;7:01:28;Falta de productos;6,8;0,38;-0,38
Cargos por cancelar o rechazar pedidos a usuarios;1900182143;RECHAZADO;2docemarket;15/2/2026 0:00;13:52:48;Falta de productos;11,4;1,14;-1,14
Cargos por cancelar o rechazar pedidos a usuarios;1900905290;RECHAZADO;2docemarket;15/2/2026 0:00;21:23:50;Falta de productos;9,74;0,98;-0,98
Cargos por cancelar o rechazar pedidos a usuarios;1901032687;RECHAZADO;2docemarket - 24hrs;15/2/2026 0:00;22:43:51;Horario de entrega retrasado;5,8;0,33;-0,33
Cargos por cancelar o rechazar pedidos a usuarios;1901122882;RECHAZADO;2docemarket - 24hrs;15/2/2026 0:00;23:33:42;Horario de entrega retrasado;19,6;1,02;-1,02
Cargos por cancelar o rechazar pedidos a usuarios;1910068484;RECHAZADO;2docemarket;23/2/2026 0:00;18:33:49;Falta de productos;7,16;0,72;-0,72
Cargos por cancelar o rechazar pedidos a usuarios;1911589176;RECHAZADO;2docemarket - 24hrs;24/2/2026 0:00;23:27:36;Falta de productos;24,35;1,24;-1,24
Cargos por cancelar o rechazar pedidos a usuarios;1910903454;RECHAZADO;2docemarket;24/2/2026 0:00;14:45:12;Falta de productos;3,72;0,38;-0,38
Cargos por cancelar o rechazar pedidos a usuarios;1911151975;RECHAZADO;2docemarket;24/2/2026 0:00;18:41:27;Falta de productos;14,98;1,5;-1,5
Cargos por cancelar o rechazar pedidos a usuarios;1911235891;RECHAZADO;2docemarket;24/2/2026 0:00;19:22:52;Falta de productos;6,97;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1911464958;RECHAZADO;2docemarket;24/2/2026 0:00;21:51:58;Falta de productos;30;3;-3
Cargos por cancelar o rechazar pedidos a usuarios;1912003962;RECHAZADO;2docemarket;25/2/2026 0:00;14:28:46;Falta de productos;24,4;2,44;-2,44
Cargos por cancelar o rechazar pedidos a usuarios;1911553492;RECHAZADO;2docemarket - 24hrs;25/2/2026 0:00;0:02:58;Falta de productos;7,9;0,45;-0,45
Cargos por cancelar o rechazar pedidos a usuarios;1911553664;RECHAZADO;2docemarket - 24hrs;25/2/2026 0:00;0:12:14;Pedido no entregado;2;0,14;-0,14
Cargos por cancelar o rechazar pedidos a usuarios;1912830145;RECHAZADO;2docemarket;26/2/2026 0:00;10:10:31;Falta de productos;34,8;3,48;-3,48
Cargos por cancelar o rechazar pedidos a usuarios;1913775280;RECHAZADO;2docemarket - 24hrs;26/2/2026 0:00;23:12:06;Horario de entrega retrasado;7,03;0,39;-0,39
Cargos por cancelar o rechazar pedidos a usuarios;1914793416;RECHAZADO;2docemarket;27/2/2026 0:00;21:05:11;Falta de productos;5,71;0,58;-0,58
Cargos por cancelar o rechazar pedidos a usuarios;1913827353;RECHAZADO;2docemarket;27/2/2026 0:00;7:28:21;Falta de productos;4,98;0,5;-0,5
Cargos por cancelar o rechazar pedidos a usuarios;1913924038;RECHAZADO;2docemarket;27/2/2026 0:00;10:59:45;Falta de productos;4,49;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1914679734;RECHAZADO;2docemarket;27/2/2026 0:00;20:20:39;Falta de productos;35;3,5;-3,5
Cargos por cancelar o rechazar pedidos a usuarios;1914977965;RECHAZADO;2docemarket - 24hrs;27/2/2026 0:00;22:32:32;Falta de productos;25,89;1,33;-1,33
Cargos por cancelar o rechazar pedidos a usuarios;1915747850;RECHAZADO;2docemarket;28/2/2026 0:00;17:14:22;Falta de productos;14,4;1,44;-1,44
Cargos por cancelar o rechazar pedidos a usuarios;1915839915;RECHAZADO;2docemarket;28/2/2026 0:00;18:54:50;Falta de productos;11,8;1,18;-1,18
Cargos por cancelar o rechazar pedidos a usuarios;1915436672;RECHAZADO;2docemarket;28/2/2026 0:00;13:44:40;Falta de productos;25,6;2,56;-2,56
Cargos por cancelar o rechazar pedidos a usuarios;1916075678;RECHAZADO;2docemarket;28/2/2026 0:00;20:24:55;Falta de productos;21,6;2,16;-2,16
Cargos por cancelar o rechazar pedidos a usuarios;1915078967;RECHAZADO;2docemarket - 24hrs;28/2/2026 0:00;1:03:40;Falta de productos;1,6;0,11;-0,11
Cargos por cancelar o rechazar pedidos a usuarios;1915092768;RECHAZADO;2docemarket - 24hrs;28/2/2026 0:00;0:24:56;Falta de productos;19,56;1,01;-1,01
Cargos por cancelar o rechazar pedidos a usuarios;1915093717;RECHAZADO;2docemarket - 24hrs;28/2/2026 0:00;0:59:13;Pedido no entregado;10,35;0,54;-0,54
Cargos por cancelar o rechazar pedidos a usuarios;1916512791;RECHAZADO;2docemarket;1/3/2026 0:00;10:04:54;Falta de productos;19,29;1,92;-1,92
Cargos por cancelar o rechazar pedidos a usuarios;1916825940;RECHAZADO;2docemarket;1/3/2026 0:00;13:55:06;Falta de productos;22,5;2,26;-2,26
Cargos por cancelar o rechazar pedidos a usuarios;1917126730;RECHAZADO;2docemarket;1/3/2026 0:00;16:46:49;Falta de productos;5,9;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1917235427;RECHAZADO;2docemarket;1/3/2026 0:00;18:00:52;Falta de productos;35,97;3,6;-3,6
Cargos por cancelar o rechazar pedidos a usuarios;1917707972;RECHAZADO;2docemarket;1/3/2026 0:00;22:01:41;Falta de productos;8;0,8;-0,8
Cargos por cancelar o rechazar pedidos a usuarios;1918279891;RECHAZADO;2docemarket;2/3/2026 0:00;16:38:10;Falta de productos;7;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1919630801;RECHAZADO;2docemarket;3/3/2026 0:00;20:30:31;Falta de productos;7;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1921631996;RECHAZADO;2docemarket;5/3/2026 0:00;19:53:05;Falta de productos;32;3,2;-3,2
Cargos por cancelar o rechazar pedidos a usuarios;1921777197;RECHAZADO;2docemarket;5/3/2026 0:00;21:01:12;Falta de productos;18,41;1,84;-1,84
Cargos por cancelar o rechazar pedidos a usuarios;1922594227;RECHAZADO;2docemarket;6/3/2026 0:00;16:34:38;El local no tiene lector de tarjetas;11,19;1,12;-1,12
Cargos por cancelar o rechazar pedidos a usuarios;1922259055;RECHAZADO;2docemarket;6/3/2026 0:00;12:11:43;Falta de productos;11,6;1,16;-1,16
Cargos por cancelar o rechazar pedidos a usuarios;1923998108;RECHAZADO;2docemarket;7/3/2026 0:00;17:17:53;Falta de productos;7,15;0,72;-0,72
Cargos por cancelar o rechazar pedidos a usuarios;1924324254;RECHAZADO;2docemarket;7/3/2026 0:00;20:26:36;Falta de productos;10,8;1,08;-1,08
Cargos por cancelar o rechazar pedidos a usuarios;1924824246;RECHAZADO;2docemarket;8/3/2026 0:00;10:08:58;Falta de productos;5,7;0,58;-0,58
Cargos por cancelar o rechazar pedidos a usuarios;1925268245;RECHAZADO;2docemarket;8/3/2026 0:00;14:27:51;Falta de productos;10,42;1,04;-1,04
Cargos por cancelar o rechazar pedidos a usuarios;1925428501;RECHAZADO;2docemarket;8/3/2026 0:00;16:19:07;Falta de productos;15,74;1,58;-1,58
Cargos por cancelar o rechazar pedidos a usuarios;1925384937;RECHAZADO;2docemarket;8/3/2026 0:00;16:05:03;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1926114927;RECHAZADO;2docemarket - 24hrs;8/3/2026 0:00;23:22:45;Horario de entrega retrasado;3,63;0,22;-0,22
Cargos por cancelar o rechazar pedidos a usuarios;1926122646;RECHAZADO;2docemarket - 24hrs;8/3/2026 0:00;23:17:08;Horario de entrega retrasado;12,59;0,66;-0,66
Cargos por cancelar o rechazar pedidos a usuarios;1927269593;RECHAZADO;2docemarket;10/3/2026 0:00;9:11:49;Falta de productos;8,44;0,84;-0,84
Cargos por cancelar o rechazar pedidos a usuarios;1927387430;RECHAZADO;2docemarket;10/3/2026 0:00;11:18:44;Falta de productos;6,5;0,66;-0,66
Cargos por cancelar o rechazar pedidos a usuarios;1928898783;RECHAZADO;2docemarket;11/3/2026 0:00;18:09:14;Falta de productos;20,32;2,04;-2,04
Cargos por cancelar o rechazar pedidos a usuarios;1930201800;RECHAZADO;2docemarket;12/3/2026 0:00;21:26:45;Falta de productos;7,65;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;1930359064;RECHAZADO;2docemarket;13/3/2026 0:00;8:12:29;Falta de productos;32,5;3,26;-3,26
Cargos por cancelar o rechazar pedidos a usuarios;1930359297;RECHAZADO;2docemarket;13/3/2026 0:00;8:18:29;Falta de productos;32,5;3,26;-3,26
Cargos por cancelar o rechazar pedidos a usuarios;1930537905;RECHAZADO;2docemarket;13/3/2026 0:00;11:34:32;Falta de productos;13,98;1,4;-1,4
Cargos por cancelar o rechazar pedidos a usuarios;1930601996;RECHAZADO;2docemarket;13/3/2026 0:00;12:19:33;Falta de productos;15,9;1,6;-1,6
Cargos por cancelar o rechazar pedidos a usuarios;1931033518;RECHAZADO;2docemarket;13/3/2026 0:00;18:12:26;Falta de productos;7,84;0,78;-0,78
Cargos por cancelar o rechazar pedidos a usuarios;1931470893;RECHAZADO;2docemarket;13/3/2026 0:00;21:19:22;Falta de productos;8,5;0,86;-0,86
Cargos por cancelar o rechazar pedidos a usuarios;1931763695;RECHAZADO;2docemarket - 24hrs;14/3/2026 0:00;3:04:55;Falta de productos;20,32;1,04;-1,04
Cargos por cancelar o rechazar pedidos a usuarios;1931886860;RECHAZADO;2docemarket;14/3/2026 0:00;11:29:17;Falta de productos;4,7;0,48;-0,48
Cargos por cancelar o rechazar pedidos a usuarios;1932096164;RECHAZADO;2docemarket;14/3/2026 0:00;13:56:32;Falta de productos;7,7;0,78;-0,78
Cargos por cancelar o rechazar pedidos a usuarios;1932250270;RECHAZADO;2docemarket;14/3/2026 0:00;15:49:17;Falta de productos;28,19;2,82;-2,82
Cargos por cancelar o rechazar pedidos a usuarios;1932508421;RECHAZADO;2docemarket;14/3/2026 0:00;19:02:38;Falta de productos;29,5;2,96;-2,96
Cargos por cancelar o rechazar pedidos a usuarios;1933724654;RECHAZADO;2docemarket;15/3/2026 0:00;15:31:07;Falta de productos;15,74;1,58;-1,58
Cargos por cancelar o rechazar pedidos a usuarios;1933086205;RECHAZADO;2docemarket - 24hrs;15/3/2026 0:00;0:29:48;Pedido no entregado;15,59;0,8;-0,8
Cargos por cancelar o rechazar pedidos a usuarios;1933484949;RECHAZADO;2docemarket;15/3/2026 0:00;13:23:43;Falta de productos;15,01;1,5;-1,5
