Order id;Razón Social ;Sucursal;Métodos De Pago;Subtotal $;Subvención Yummy $;Subtotal Mas Subvención Yummy;Total Cupones de Comercio $;IGTF Comercio $;Fecha De La Orden;Tipo de Delivery;Estado de la orden
18448669;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$7.00;$0.00;$7.00;$0.00;$0.00;25/1/2026;CoreLogistics;Finalizado
18445823;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$9.00;$0.00;$9.00;$0.00;$0.00;25/1/2026;CoreLogistics;Finalizado
18441889;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$6.00;$0.00;$6.00;$0.00;$0.00;24/1/2026;CoreLogistics;Finalizado
18424894;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$6.00;$0.00;$6.00;$0.00;$0.00;21/1/2026;CoreLogistics;Finalizado
18418254;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;punto_de_venta;$10.00;$0.00;$10.00;$0.00;$0.00;20/1/2026;CoreLogistics;Finalizado
18416247;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$12.00;$0.00;$12.00;$0.00;$0.00;20/1/2026;CoreLogistics;Finalizado
18414767;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$13.50;$0.00;$13.50;$0.00;$0.00;19/1/2026;CoreLogistics;Finalizado
18377747;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$18.50;$0.00;$18.50;$0.00;$0.00;13/1/2026;CoreLogistics;Finalizado
18338213;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;InstantDebit;$7.50;$0.00;$7.50;$0.00;$0.00;6/1/2026;CoreLogistics;Finalizado
18324295;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;punto_de_venta;$8.00;$0.00;$8.00;$0.00;$0.00;1/1/2026;CoreLogistics;Finalizado
